,Unnamed: 0,Unnamed: 0_x,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
67,67,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,67,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n298-k31.vrp,35948.0
68,68,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,68,K3C15J2,K3E3C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n251-k28.vrp,39687.0
69,69,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,69,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n449-k29.vrp,58389.0
70,70,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,70,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_14.vrp,1135.0
71,71,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,71,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n480-k70.vrp,92103.0
72,72,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,72,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n801-k40.vrp,76144.0
73,73,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,73,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n148-k46.vrp,44309.0
74,74,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,74,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT10.vrp,1433.0
75,75,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,75,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n284-k15.vrp,21306.0
76,76,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,76,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n162-k11.vrp,14286.0
77,77,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,77,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n411-k19.vrp,20699.0
78,78,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,78,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_16.vrp,1705.0
79,79,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,79,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n367-k17.vrp,23504.0
80,80,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,80,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n819-k171.vrp,162576.0
