,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
123,123,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,123,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_2.vrp,8524.0
124,124,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,124,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n120-k6.vrp,13639.0
125,125,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,125,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n153-k22.vrp,21636.0
126,126,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,126,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97165.0
127,127,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,127,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_13.vrp,886.0
128,128,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,128,K5C10J2,K5E2C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_11.vrp,829.0
129,129,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,129,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT4.vrp,1030.0
130,130,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,130,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n876-k59.vrp,102824.0
131,131,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,131,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_8.vrp,11974.0
132,132,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,132,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n429-k61.vrp,67588.0
